Source: 1177 Vardguiden | Topic: Feber | URL: https://www.1177.se/sjukdomar--besvar/infektioner/feber/feber/ | Accessed: 2026-03-13 | Text: Fever is the body's defense response to infections caused by viruses and bacteria; it is not a disease itself but a sign of an underlying infection or illness.
Source: 1177 Vardguiden | Topic: Migrän | URL: https://www.1177.se/sjukdomar--besvar/hjarna-och-nerver/huvudvark-och-migran/migran/ | Accessed: 2026-03-13 | Text: Migraine is the second most common type of headache and typically occurs in intense episodes that can last up to three days; both children and adults can be affected.
Source: 1177 Vardguiden | Topic: Klusterhuvudvärk | URL: https://www.1177.se/sjukdomar--besvar/hjarna-och-nerver/huvudvark-och-migran/klusterhuvudvark/ | Accessed: 2026-03-13 | Text: Cluster headache is an intense type of headache occurring in repeated attacks within the same period and is considered one of the most painful types of headache known.
Source: 1177 Vardguiden | Topic: Urinvägsinfektion | URL: https://www.1177.se/sjukdomar--besvar/njurar-och-urinvagar/infektioner-i-njurar-och-urinvagar/urinvagsinfektion-hos-kvinnor/ | Accessed: 2026-03-13 | Text: Urinary tract infection (UTI) is caused by bacteria entering the urethra and bladder; typical symptoms include a frequent urge to urinate and a burning sensation when urinating.
Source: 1177 Vardguiden | Topic: Urinvägsinfektion | URL: https://www.1177.se/sjukdomar--besvar/njurar-och-urinvagar/infektioner-i-njurar-och-urinvagar/urinvagsinfektion-hos-kvinnor/ | Accessed: 2026-03-13 | Text: Urinary tract infection symptoms usually improve within three days and disappear completely within one week; however, medical care should be sought if symptoms worsen or do not improve.
Source: 1177 Vardguiden | Topic: Urinvägsinfektion | URL: https://www.1177.se/sjukdomar--besvar/njurar-och-urinvagar/infektioner-i-njurar-och-urinvagar/urinvagsinfektion-hos-barn/ | Accessed: 2026-03-13 | Text: Children with urinary tract infection need treatment with antibiotics; it is important to seek medical care if a child is suspected of having a UTI.
Source: 1177 Vardguiden | Topic: Lunginflammation | URL: https://www.1177.se/sjukdomar--besvar/lungor-och-luftvagar/inflammation-och-infektion-ilungor-och-luftror/lunginflammation/ | Accessed: 2026-03-13 | Text: Pneumonia is an inflammation of parts of the lungs most commonly caused by bacteria such as pneumococci, and is treated with antibiotics.
Source: 1177 Vardguiden | Topic: Lunginflammation | URL: https://www.1177.se/sjukdomar--besvar/lungor-och-luftvagar/inflammation-och-infektion-ilungor-och-luftror/lunginflammation/ | Accessed: 2026-03-13 | Text: Common symptoms of pneumonia include cough, fever, and difficulty breathing; most people recover fully within approximately one month.
Source: 1177 Vardguiden | Topic: Lunginflammation | URL: https://www.1177.se/sjukdomar--besvar/lungor-och-luftvagar/inflammation-och-infektion-ilungor-och-luftror/lunginflammation/ | Accessed: 2026-03-13 | Text: Pneumonia is most common in children under two years old and in elderly people; it can be especially serious for people over 65 or those with conditions affecting the immune system.
Source: 1177 Vardguiden | Topic: Högt blodtryck | URL: https://www.1177.se/sjukdomar--besvar/hjarta-och-blodkarl/blodtryck/hogt-blodtryck/ | Accessed: 2026-03-13 | Text: High blood pressure (hypertension) makes it harder for the heart to pump blood and increases the risk of cardiovascular disease and kidney problems.
Source: 1177 Vardguiden | Topic: Högt blodtryck | URL: https://www.1177.se/sjukdomar--besvar/hjarta-och-blodkarl/blodtryck/hogt-blodtryck/ | Accessed: 2026-03-13 | Text: Lifestyle changes such as losing weight, reducing alcohol intake, and regular physical activity can lower blood pressure; some people also need medication.
Source: 1177 Vardguiden | Topic: Högt blodtryck | URL: https://www.1177.se/undersokning-behandling/behandling-med-lakemedel/lakemedel-utifran-diagnos/lakemedel-vid-hogt-blodtryck/ | Accessed: 2026-03-13 | Text: The primary goal of medication treatment for high blood pressure is to reduce the long-term risk of serious conditions such as stroke and heart attack.
Source: 1177 Vardguiden | Topic: Bihåleinflammation | URL: https://www.1177.se/sjukdomar--besvar/oron-nasa-och-hals/infektioner-i-oron-nasa-och-hals/bihaleinflammation/ | Accessed: 2026-03-13 | Text: Sinusitis is a common condition that develops alongside a cold; the main symptoms are facial pain and nasal congestion, and it usually resolves on its own.
Source: 1177 Vardguiden | Topic: Bihåleinflammation | URL: https://www.1177.se/sjukdomar--besvar/oron-nasa-och-hals/infektioner-i-oron-nasa-och-hals/bihaleinflammation/ | Accessed: 2026-03-13 | Text: Sinusitis usually does not spread from person to person, but the underlying cold virus that often triggers it is contagious.
Source: 1177 Vardguiden | Topic: Körtelfeber | URL: https://www.1177.se/sjukdomar--besvar/oron-nasa-och-hals/infektioner-i-oron-nasa-och-hals/kortelfeber/ | Accessed: 2026-03-13 | Text: Glandular fever (infectious mononucleosis) is caused by a very common virus; children typically experience mild symptoms, while teenagers and adults can become more seriously ill.
Source: 1177 Vardguiden | Topic: Körtelfeber | URL: https://www.1177.se/sjukdomar--besvar/oron-nasa-och-hals/infektioner-i-oron-nasa-och-hals/kortelfeber/ | Accessed: 2026-03-13 | Text: A person can only contract glandular fever once in their lifetime, as the body develops lasting immunity after infection.
Source: 1177 Vardguiden | Topic: Ont i ryggen | URL: https://www.1177.se/sjukdomar--besvar/skelett-leder-och-muskler/rygg-och-nacke/ont-i-ryggen/ | Accessed: 2026-03-13 | Text: Back pain is very common and most often affects the lower back; for most people the pain resolves on its own, but sometimes treatment is needed.
Source: 1177 Vardguiden | Topic: Ont i nacke och axlar | URL: https://www.1177.se/sjukdomar--besvar/skelett-leder-och-muskler/rygg-och-nacke/ont-i-nacke-och-axlar/ | Accessed: 2026-03-13 | Text: Neck and shoulder pain is common and usually resolves on its own; it is often caused by muscle stiffness from prolonged sitting, poor posture, or stress.
Source: 1177 Vardguiden | Topic: Diskbråck | URL: https://www.1177.se/sjukdomar--besvar/skelett-leder-och-muskler/rygg-och-nacke/diskbrack/ | Accessed: 2026-03-13 | Text: A herniated disc is a common cause of back problems and can cause pain in the back, neck, or legs; it usually resolves on its own and maintaining movement is beneficial.
Source: 1177 Vardguiden | Topic: Scharlakansfeber | URL: https://www.1177.se/sjukdomar--besvar/oron-nasa-och-hals/infektioner-i-oron-nasa-och-hals/scharlakansfeber/ | Accessed: 2026-03-13 | Text: Scarlet fever is a highly contagious bacterial infection that primarily affects children; it can resolve on its own, but sometimes requires antibiotic treatment.
Source: 1177 Vardguiden | Topic: Påssjuka | URL: https://www.1177.se/sjukdomar--besvar/oron-nasa-och-hals/infektioner-i-oron-nasa-och-hals/passjuka/ | Accessed: 2026-03-13 | Text: Mumps is a contagious viral infection characterised by significant swelling of the neck and cheek; it is rare in Sweden because all children are offered a vaccine, and it usually resolves on its own within a week.
Source: 1177 Vardguiden | Topic: Infektion och inflammation | URL: https://www.1177.se/sjukdomar--besvar/infektioner/infektion-och-inflammation/ | Accessed: 2026-03-13 | Text: An infection occurs when a virus, bacterium, fungus, or other pathogen begins to multiply in the body; the body often responds with inflammation as a defence mechanism.
